-89, 35, -16, -9, -47, -71, 23, 87, 11, 22, -36, -38
-94, 39, 9, 13, -59, -101, 23, 94, 25, -12, -45, -20
-89, 21, -6, 3, -45, -74, 37, 114, 31, 9, -3, 14
-73, 4, -5, 0, -22, -53, 25, 110, 31, 51, 37, 15
-56, -1, 4, 30, -14, -52, 47, 87, 16, 74, 31, 26
-20, -27, 10, 42, 10, -19, 81, 71, -22, 65, 37, 54
37, 9, -37, 20, -9, -39, 45, 71, -14, 13, -2, -10
77, 15, -84, 36, -75, -17, -1, 97, -43, 15, 2, -67
97, -9, -98, 24, -89, 1, 4, 109, -60, 18, -9, -71
97, -27, -103, 10, -81, -4, 30, 94, -74, 9, -20, -76
93, -29, -96, 11, -85, -4, 54, 56, -72, 3, -36, -69
83, -34, -99, 8, -108, -15, 39, 21, -69, -6, -40, -84
83, -22, -86, 17, -109, 15, 62, 20, -45, 4, -27, -92
76, -21, -67, 15, -115, 14, 66, 14, -31, 16, -32, -95
74, -35, -54, 11, -113, 11, 59, 15, -35, 16, -56, -85
69, -35, -48, 20, -88, 36, 72, 7, -37, 19, -37, -85
61, -31, -53, 28, -77, 7, 75, -3, -45, 2, -20, -95
54, -14, -57, 22, -50, -36, 53, -7, -33, -12, -3, -106
31, 24, -65, 16, -9, -44, 31, 9, -6, -30, -6, -95
-16, 60, -51, 43, 35, -65, -26, -7, 12, -61, -51, -34
-17, 61, -38, 63, 16, -64, -32, 4, 34, -63, -39, -29
-17, 50, -27, 77, -2, -61, -32, 13, 13, -56, -41, -37
-11, 39, -27, 75, 3, -61, -14, 11, 4, -76, -31, -24
-3, 33, -27, 75, 15, -59, -1, 2, 26, -64, -31, -27
3, 33, -35, 72, 11, -66, 15, -8, 44, -61, -34, -49
8, 31, -32, 78, 26, -64, 19, -12, 52, -50, -37, -58
20, 35, -46, 61, 23, -45, 3, -34, 34, -37, -17, -59
40, 29, -65, 27, 29, -19, -9, 13, -8, -10, -28, -54
53, 24, -67, 16, 15, 9, -19, 66, -16, 4, -28, -40
67, 11, -69, 27, 0, 34, -23, 73, -35, -23, -21, -37
81, -8, -65, 37, -23, 25, -8, 80, -57, -33, 8, -47
86, -18, -54, 42, -42, 23, 8, 78, -60, -21, 20, -73
84, -30, -39, 41, -53, 27, 21, 80, -56, 4, 19, -83
84, -35, -21, 40, -66, 21, 25, 65, -71, 7, 1, -103
86, -38, -8, 35, -72, 16, 34, 43, -50, 40, -4, -100
89, -47, 1, 31, -75, 12, 37, 17, -37, 66, -9, -99
91, -50, 7, 33, -83, 6, 34, -1, -15, 89, -13, -79
89, -53, 13, 34, -97, -2, 22, -17, 2, 89, -23, -73
84, -48, 26, 39, -112, -2, 33, -17, 13, 82, -12, -50
81, -42, 26, 38, -127, -6, 35, -30, 15, 81, 5, -33
74, -37, 25, 44, -119, 7, 25, -40, 12, 80, 2, -19
65, -23, 29, 54, -120, 6, 18, -56, 11, 84, 11, -32
53, -14, 46, 32, -110, -6, 24, -47, 8, 76, 11, -22
49, -16, 47, 51, -116, 15, -3, -21, 9, 74, 14, -24
50, -14, 35, 62, -128, 11, 13, -14, 4, 66, 11, -22
42, -6, 32, 73, -116, 7, 0, -22, 2, 84, 13, -23
20, 11, 25, 73, -94, 6, -10, 7, -28, 112, 23, -39
0, -4, 39, 84, -67, 26, -45, 43, -50, 65, 30, -55
4, -1, 46, 73, -79, 64, -85, 42, -69, 14, 25, -21
-3, 23, 43, 66, -48, 35, -89, 50, -35, -24, 47, -5
-7, 35, 42, 61, -56, -20, -68, 69, -21, -10, 23, 5
-10, 51, 41, 66, -53, -40, -45, 105, -21, -54, -9, 25
-13, 67, 9, 62, -34, -31, -43, 58, -5, -38, 35, -12
-10, 77, -7, 58, -8, -38, -26, 34, -2, -22, 41, 10
-12, 75, -10, 60, 16, -56, -30, 14, 4, -8, 25, 26
7, 55, -9, 70, -35, -32, -14, 34, 21, -1, 49, 11
24, 55, -13, 41, -43, -39, -33, 73, 23, 0, 27, -17
20, 70, -4, -4, 14, -60, -37, 100, 22, 19, 16, -29
12, 86, -8, -49, 47, -20, -25, 66, 62, 1, -11, 14
10, 103, -17, -56, 36, -5, -40, 46, 53, 16, -16, 2
0, 96, -16, -43, 27, 40, -42, 38, 95, 28, -39, -15
-3, 107, -10, -55, 15, 30, -50, -6, 101, 30, -41, -7
-3, 108, -8, -59, -1, 43, -36, -5, 79, 65, -25, -31
-2, 108, -14, -55, -8, 57, -29, 4, 86, 71, -19, -32
0, 106, -11, -63, 1, 31, -7, -2, 66, 48, -3, -31
-1, 121, -18, -79, 14, 51, -6, -2, 52, 72, 12, -69
-6, 114, -13, -69, 3, 85, -24, 31, 33, 81, 12, -56
0, 111, -18, -69, 1, 81, -12, 3, 40, 89, -14, -55
2, 113, -28, -77, 10, 68, -10, -6, 40, 92, -2, -60
0, 118, -28, -73, 9, 78, -22, -2, 51, 70, 9, -62
-4, 114, -7, -76, 10, 71, -11, -4, 39, 76, -7, -30
7, 116, -24, -88, 11, 63, -3, 7, 28, 75, 3, -31
11, 118, -22, -90, 20, 58, 16, -14, 32, 86, 18, -51
9, 113, -33, -83, 16, 52, 19, -33, 20, 92, 20, -57
10, 114, -31, -74, 12, 61, 27, -34, 31, 79, 30, -63
18, 104, -30, -84, 2, 66, 13, -29, 28, 74, 20, -54
29, 93, -41, -78, -8, 74, -6, -11, 20, 87, 5, -45
37, 83, -50, -71, -9, 85, -17, -6, 14, 69, 1, -51
44, 68, -49, -85, -1, 70, -24, -8, 23, 55, 2, -53
46, 48, -39, -104, 12, 54, -15, -8, 44, 66, 13, -41
37, 42, -35, -116, 11, 46, -17, -16, 28, 58, 0, -65
25, 54, -29, -122, 11, 42, -26, 3, 42, 92, 24, -75
5, 63, -33, -112, 21, 38, -23, 6, 50, 111, 19, -91
-8, 65, -31, -85, 8, 24, -18, -17, 60, 80, -25, -63
11, 33, -33, -81, 4, 31, -18, 16, 76, 36, -34, -35
-6, 23, -39, -74, 15, 37, -4, 31, 100, 64, -38, -61
-34, 23, -36, -48, 35, 21, 10, 42, 103, 50, -53, -73
-52, 14, -16, -30, 42, 0, 16, 36, 47, -23, -73, -55
-66, 11, -12, -25, 17, -25, 18, 38, 4, 17, -15, -26
-64, 5, -20, -30, -17, -5, 49, 50, -4, 31, -30, -47
-66, 4, -24, -25, -18, -1, 52, 34, 22, 72, -34, -36
-73, 14, -12, -20, -1, 6, 53, 25, 23, 56, -52, -28
-84, 15, -3, -35, 10, -8, 51, 50, 28, 32, -59, -56
-85, 17, 2, -23, -1, -13, 46, 48, 20, 56, -34, -34
-81, 11, 2, -13, -13, -11, 43, 18, 21, 79, -30, 3
-80, 15, -11, -38, -11, 0, 48, 49, 60, 107, -4, 30
-77, 26, -14, -49, -1, 1, 44, 29, 52, 104, -17, -10
-82, 25, -1, -23, -9, 2, 36, 11, 32, 86, -32, -34
-80, 23, -14, -28, -10, -20, 31, 28, 11, 50, -44, -41
-78, 10, -11, -32, -9, -26, 35, 53, 61, 79, -42, -9
-70, 28, -6, -34, 6, -51, -6, 50, 51, 89, -46, -38
-70, 33, -17, -40, 41, -26, 8, 38, 21, 84, -58, -74
-77, 17, -37, -43, 20, 22, 38, 35, 24, 54, -61, -8
-82, 10, -31, -46, 26, 26, 54, 34, 32, 21, -57, -10
-80, 12, -29, -55, 60, 16, 69, 38, 30, 13, -42, 9
-74, 7, -31, -46, 29, -3, 63, 15, 21, 23, -43, 26
-66, 8, -21, -34, 9, -12, 53, 47, 30, 18, -60, -29
-70, 5, -4, -28, -2, -36, 32, 74, 49, 25, -66, -49
-72, 10, -9, -23, 9, -53, 13, 68, 78, 56, -53, -49
-73, 17, -25, -47, 8, -44, 24, 68, 78, 55, -11, -28
-72, 22, -27, -37, 23, -24, 26, 68, 34, 52, -31, -8
-80, 14, -27, -19, 37, -12, 37, 81, 33, 43, -44, 31
-82, 12, -32, -36, 20, -29, 15, 87, 53, 72, -60, -22
-81, 24, -30, -39, 4, -31, 22, 88, 66, 111, -15, -7
-81, 25, -38, -47, 19, -44, 34, 127, 73, 91, -6, -13
-89, 18, -41, -45, 35, -35, 35, 90, 40, 49, -46, -41
-92, 14, -22, -39, 49, -19, 19, 23, 20, 53, -28, -29
-86, 35, -10, -20, 59, -7, 21, 39, 38, 59, -12, -13
-81, 46, -1, -15, 46, -11, 6, 50, 67, 65, -11, -1
-82, 36, -4, -3, 46, 1, 2, 38, 44, 58, 12, 20
-86, 35, -6, 4, 29, -17, 9, 52, 23, 22, -10, 24
-91, 30, 6, -2, 25, -23, -1, 27, 43, 37, -36, -7
-98, 19, -12, -8, 8, -46, 15, 23, 54, 81, 5, 14
-95, 25, -13, -24, -15, -50, 54, 35, 8, 63, 44, 44
