-0.101861, 0.272245, -0.175369, -0.257173, -0.767352, -1.44933, 0.112008, 1.86168, -0.21363, 0.0330647, -1.65004, -0.951397
-0.108345, 0.321764, 0.13489, 0.105269, -1.00786, -2.16, 0.122143, 2.04762, 0.267767, -1.07638, -2.01472, -0.345122
-0.101641, 0.128611, -0.0530178, -0.0584207, -0.725547, -1.51659, 0.504637, 2.63802, 0.478629, -0.372831, -0.299567, 0.813232
-0.0803803, -0.0604347, -0.0426519, -0.100564, -0.25571, -1.00421, 0.188719, 2.51211, 0.473687, 0.988287, 1.34188, 0.827232
-0.0558835, -0.115404, 0.0685716, 0.385849, -0.104332, -0.977859, 0.786262, 1.8487, -0.0390939, 1.7519, 1.10424, 1.22017
-0.00650522, -0.393475, 0.151105, 0.579322, 0.385438, -0.201135, 1.70655, 1.41967, -1.3398, 1.46192, 1.33127, 2.13587
0.0725784, -0.00480664, -0.440401, 0.224635, -0.00541371, -0.680247, 0.724111, 1.40744, -1.056, -0.256941, -0.255766, -0.00564646
0.127592, 0.0638231, -1.02131, 0.484227, -1.33309, -0.153775, -0.541578, 2.15966, -2.08004, -0.186674, -0.105521, -1.92185
0.155215, -0.196288, -1.19649, 0.288284, -1.60223, 0.288015, -0.392504, 2.48504, -2.64996, -0.0840488, -0.541978, -2.06913
0.155291, -0.390923, -1.2489, 0.0644944, -1.44826, 0.180209, 0.301158, 2.04993, -3.15089, -0.397618, -0.99883, -2.23709
0.149128, -0.407826, -1.16298, 0.0754455, -1.51955, 0.169073, 0.975454, 0.991553, -3.05315, -0.587789, -1.62684, -2.00072
0.135668, -0.461041, -1.20616, 0.0314438, -1.98295, -0.092782, 0.569601, -0.021172, -2.97455, -0.88926, -1.78224, -2.48548
0.135252, -0.331598, -1.03914, 0.174104, -2.00618, 0.619883, 1.19224, -0.0351474, -2.14802, -0.535548, -1.26954, -2.75967
0.125167, -0.326017, -0.813358, 0.150449, -2.11737, 0.612108, 1.30145, -0.215676, -1.64286, -0.16214, -1.4585, -2.87037
0.122846, -0.470835, -0.649051, 0.0718421, -2.07523, 0.541715, 1.10576, -0.180489, -1.7827, -0.147781, -2.46205, -2.54154
